"topicstats"	"keywords"	"top7books"	"next5books, biggestauth, datequartiles"	"label"	"category"	"comments"
"TOPIC 37 pct corpus = 0.159% doc entropy = 9.8870 word length = 5.4200 coherence = -39675.6114 rank 1 docs = 0.0015 r1 ratio = 0.943"	"art picture work artist painting studio pictures paint painter portrait painted paintings artists see canvas drawing gallery model look museum colour sketch show great made beautiful how face room drawings new light brush easel figure artistic sketches colours first beauty finished painters done working genius exhibition seen draw camera works talent collection make portraits wall these walls study photograph set figures paris sculptor must worked life something found photographs pose "	"0.282 | Fearing, Kelly | Our expanding vision | 1960 0.198 | Samson, Edward | Art and the full prosthesis | 1974 0.118 | Whitlock, Brand | Narcissus; a Belgian legend of Va | 1931 0.117 | Marcus, Adrianne | The photojournalist, Mary Ellen M | 1974 0.115 | Tarkington, Booth | Rumbin galleries | 1937 0.108 | Marks, Peter | Collector's choice | 1972 0.099 | Lee, Vernon | The child in the Vatican | 1900 "	"0.099 | Frith, William Powell | My autobiography and reminiscence | 1888 0.086 | Stone, Irving | Lust for life : the novel of Vinc | 1934 0.083 | Braun, Lilian Jackson | The cat who could read backwards | 1966 0.082 | Hart, Joan | Beyond the tunnel :  the arts and | 1992 0.081 | Malamud, Bernard | Pictures of Fidelman; an exhibiti | 1969 Stone, Irving = 1.04% 1900-1968"	"art and artists"	"human institutions, practices, or relationships"	
"TOPIC 38 pct corpus = 0.763% doc entropy = 10.4016 word length = 4.7250 coherence = -20366.2272 rank 1 docs = 0.0155 r1 ratio = 2.031"	"little home good day work great new life how came many happy old such see always must days glad thought soon just felt make made first friends help things while own young went seemed think often heart best few found evening feel ever better hard morning last friend joy sure ready hope most these years love until beautiful together away pleasure pleasant house fine need knew talk take each care "	"0.211 | Douglas, Amanda Minnie | Kathie's harvest days | 1899 0.187 | Kenney, Minnie E | Christie's next things | 1890 0.181 | Douglas, Amanda Minnie | Whom Kathie married | 1883 0.177 | C.B.S | The mother and her children : a s | 1884 0.173 | Jewett, Sarah Orne | A country doctor | 1884 0.169 | Potwin, H. K | What girls can do; | 1892 0.167 | Reese, Alice | Hurrah for America : a tale of We | 1898 "	"0.164 | Unknown Author | Sketch of the life of Sarah B. Up | 1883 0.162 | Spyri, Johanna | Toni, the little wood-carver | 1901 0.158 | Robinson, Celia Myrover | Rowena's happy summer | 1912 0.157 | Wade, Mary Hazelton Blanchard | Real Americans | 1922 0.154 | Chellis, Mary Dwinell | Harold Dorsey's fortune | 1881 Jewett, Sarah Orne = 0.59% 1892-1914"	"late 19c home life"	"human institutions, practices, or relationships"	"Was tempted by 'children's literature,' which could be a genre.  But Sarah Orne Jewett's book is not necessarily for children, and she's the biggest author here.   Also the r1 ratio is below 3."
"TOPIC 39 pct corpus = 0.657% doc entropy = 10.7012 word length = 4.8800 coherence = -27283.3017 rank 1 docs = 0.0020 r1 ratio = 0.304"	"rain fire wind light night sky dark water came air seemed black sun still white darkness cold saw looked storm red began clouds away eyes went against wet sound under felt smoke heard grey suddenly blue see fell trees its great moon hot stood earth lay burning nothing face cloud heavy little thunder rose last stars voice above warm slowly hear bright thought heat dry far yellow grew lightning green "	"0.163 | Timmermans, Felix | Pallieter | 1924 0.143 | Brewster, Frances Stanton | The hemlock log; a Christmas stor | 1898 0.142 | Kurtzman, Joel | Crown of flowers | 1970 0.136 | Branner, H. C. (Hans Christian | Anguish | 1966 0.134 | Gibson, Katharine | Cinders | 1939 0.123 | Cox-McCormack, Nancy | Peeps, the really truly sunshine  | 1918 0.123 | Romero, Leo | During the growing season | 1978 "	"0.118 | McLeish, Kenneth | In the beginning : Creation myths | 1984 0.117 | Payne, Robert | David and Anna | 1943 0.113 | Stewart, George Rippey | Fire, a novel | 1948 0.107 | Nyabongo, Akiki K | Winds and lights; African fairy t | 1939 0.105 | Neihardt, John Gneisenau | The song of the Messiah | 1935 Payne, Robert = 0.17% 1923-1964"	"landscape description"	"physical description"	
"TOPIC 40 pct corpus = 0.858% doc entropy = 10.2222 word length = 5.0750 coherence = -23117.4324 rank 1 docs = 0.0289 r1 ratio = 3.368"	"man life its men world such may our great those nature human own most upon these must should power people mind good things yet even work society without many true truth under ever themselves always same thought years far does law cannot fact knowledge character moral sense itself self make spirit soul social new less religion among whole race common because better nor public means become best others right natural "	"0.508 | Leggett, Mortimer Dormer | Dream of a modest prophet | 1890 0.489 | Wayne, Kenneth H | Building your girl | 1911 0.477 | Fiske, Amos Kidder | Beyond the bourn; | 1891 0.465 | Arnold, Matthew | Passages from the prose writings  | 1880 0.421 | Mabie, Hamilton Wright | My study fire | 1900 0.418 | Allapichai, A. M | The seven sages and the world ord | 1963 0.353 | Bachelor, Antony | Wanted-a wife | 1904 "	"0.327 | Unknown Author | The spirit of the unborn | 1918 0.325 | Van Dyke, Henry | Ships and havens | 1898 0.317 | Carlyle, Thomas | On heroes, hero-worship & the her | 1881 0.302 | Carlyle, Thomas | Selections from Carlyle | 1881 0.301 | Holland, J. G. (Josiah Gilbert | [Works] | 1881 Unknown Author = 0.62% 1890-1911"	"e20c philosophical/ social reflection"	"human institutions, practices, or relationships"	"Nonfiction I failed to weed out; topic modeling will always float any weird stuff up to the surface. This is probably also diffused through a lot of fiction."
"TOPIC 41 pct corpus = 0.31% doc entropy = 8.4630 word length = 4.3950 coherence = -20618.6590 rank 1 docs = 0.0336 r1 ratio = 10.839"	"king men knight great castle came sword shall many knights man son should battle good land earl lance such made against went rode might fair fight let day ye sons hall both took how armour death these queen brother called lord set shield spear fell ever yet saw host upon take may right lay those war hand together slain thus also done gave horse arms sent folk ship noble heard "	"0.806 | Unknown Author | Unknown Title | 1891 0.804 | Unknown Author | The Saga library | 1891 0.733 | Unknown Author | Unknown Title | 1891 0.698 | Unknown Author | Unknown Title | 1891 0.62 | Unknown Author | The story of the Laxdalers done i | 1903 0.577 | Eir?_kr Magn?_sson | Three northern love stories | 1901 0.576 | Malory, Thomas, Sir | The boy's King Arthur | 1880 "	"0.549 | Malory, Thomas, Sir | The romance of King Arthur and hi | 1917 0.536 | Morris, William | The story of Grettir the Strong.  | 1896 0.524 | Unknown Author | Icelandic sagas and other histori | 1887 0.504 | Unknown Author | Unknown Title | 1891 0.501 | Unknown Author | Volsunga saga: the story of the V | 1962 Unknown Author = 21.69% 1896-1921"	"sagas and romances"	"language/ dialect/ archaic diction"	
"TOPIC 42 pct corpus = 1.023% doc entropy = 11.2564 word length = 4.8850 coherence = -40563.4531 rank 1 docs = 0.0008 r1 ratio = 0.078"	"men these each people themselves those others women children together made three see many us another came faces among heads own friends boys hands side ones saw make group four girls rest first seen how passed without same both brought young most take took lives voices heard knew crowd behind spoke none bodies kept few held left places houses keep food gave went carried place looked minds brothers names moved "	"0.18 | Work, Edgar Whitaker | The folly of the Three Wise Men | 1915 0.132 | Jordan, David Starr | The story of the innumerable comp | 1895 0.121 | Silber, Mendel | The Scripture stories retold for  | 1918 0.115 | Pilkington, Doris | Follow the rabbit-proof fence | 1996 0.113 | Baron, Amherst, William Amhurs | The discovery of the Solomon Isla | 1901 0.107 | Hyvrard, Jeanne | Mother death = Mère la mort | 1988 0.104 | Sarraute, Nathalie | Tropisms | 1963 "	"0.1 | Hickling, R. A | Tom Ford, a British boy in South  | 1903 0.1 | Potter, Beatrix | The tale of Tom Kitten | 1907 0.098 | Drake, Samuel Adams | On Plymouth rock | 1897 0.095 | Lee, R | The African wanderers, or, The ad | 1887 0.094 | Spicer, Jack | Lament for the maker | 1971 Reid, Mayne = 0.1% 1901-1965"	"people in groups"	"uncategorized dimension of style"	"This seems very hard to categorize. It's very  broadly diffused, with the highest entropy I've seen so far. Top 7 books have little in common; all I we have to go on is the vocab: plural nouns, 'crowd,' 'group,' etc. 'Heads' is a bit of a tell; you count them when ppl are viewed as a mass."
"TOPIC 43 pct corpus = 0.375% doc entropy = 8.7540 word length = 4.8000 coherence = -18551.3428 rank 1 docs = 0.1022 r1 ratio = 27.253"	"earth ship space its planet human years system machine computer world control screen light re power new three around first how mars metal room work voice star brain hundred mind air something stars use robot field toward energy far own universe even enough moon us why made data found just our science surface alien thought set course under thousand second machines still away five sun city few planets those small "	"0.399 | Herbert, Frank | Destination, void | 1966 0.354 | Unknown Author | The Planets | 1985 0.341 | Clarke, Arthur C.  (Arthur Cha | 2001: a space odyssey | 1968 0.309 | Pohl, Frederik | Rogue star | 1969 0.305 | Forward, Robert L | Dragon's egg | 1980 0.295 | McCollum, Michael | Life probe : Michael McCollum | 1983 0.287 | Niven, Larry | Ringworld : a novel | 1970 "	"0.287 | Shatner, William | Star Trek : the return | 1996 0.285 | Smith, E. E. (Edward Elmer) | Skylark three | 1948 0.283 | Leinster, Murray | The wailing asteroid | 1960 0.275 | Anthony, Piers | Kirlian quest | 1978 0.275 | Leinster, Murray | This world is taboo | 1961 Asimov, Isaac = 4.57% 1960-1981"	"late 20c SF"	"genre"	"Huge number of rank 1 docs; high coherence; this is a tightly knit genre."
"TOPIC 44 pct corpus = 0.395% doc entropy = 8.4333 word length = 4.4250 coherence = -21847.1016 rank 1 docs = 0.0257 r1 ratio = 6.506"	"thou thee thy hath hast art upon shall till answered came may us wilt saying day thine king quoth forth nor am ye say went dost god son how night lord these shalt unto allah heart replied took saw love take whom know hand heard made man himself its place thyself our see fell give house none indeed city whereupon tell words didst brought set found gave thus mine such "	"0.66 | Unknown Author | The book of the thousand nights a | 1884 0.66 | Unknown Author | The book of the thousand nights a | 1884 0.659 | Unknown Author | Tales from the Arabic of the Bres | 1884 0.654 | Unknown Author | Tales from the Arabic : of the Br | 1901 0.642 | Unknown Author | The book of the thousand nights a | 1885 0.641 | Unknown Author | A plain and literal translation o | 1900 0.638 | Unknown Author | The book of the thousand nights a | 1897 "	"0.634 | Unknown Author | Plain and literal translation of  | 1885 0.631 | Unknown Author | The book of the thousand nights a | 1897 0.628 | Unknown Author | Lady Burton's edition of her husb | 1886 0.623 | Unknown Author | Alaeddin and the enchanted lamp; | 1914 0.623 | Unknown Author | Alaeddin and the enchanted lamp ; | 1884 Unknown Author = 45.02% 1889-1910"	"1001 Nights"	"author-dominated"	"It seems weird to say 'author-dominated' when the author is anonymous. We could make up another category for this if you like. But basically it's half the topic from the same one book."
"TOPIC 45 pct corpus = 0.134% doc entropy = 7.8482 word length = 4.3700 coherence = -27044.5073 rank 1 docs = 0.0277 r1 ratio = 20.672"	"butler man lt thing yes say just old parsons good something moment right seemed oh sort mean going got course bean these might little see get those pip bit mind bingo came young look how fuller girl having thought eye dash fellow being always jolly chap rather voice quite think fact must its why found eyes tell point ever feeling words ln lord rook hon room himself saying matter word "	"0.493 | Wodehouse, P. G., (Pelham Gren | Tales from the Drones Club | 1975 0.47 | Wodehouse, P. G., (Pelham Gren | The mating season : [a novel] | 1949 0.469 | Wodehouse, P. G., (Pelham Gren | Joy in the morning | 1946 0.461 | Wodehouse, P. G., (Pelham Gren | A few quick ones | 1959 0.458 | Wodehouse, P. G., (Pelham Gren | Eggs, beans and crumpets | 1940 0.448 | Wodehouse, P. G., (Pelham Gren | The code of the Woosters | 1938 0.445 | Wodehouse, P. G., (Pelham Gren | Pigs have wings | 1952 "	"0.445 | Wodehouse, P. G., (Pelham Gren | Ring for Jeeves | 1975 0.436 | Wodehouse, P. G., (Pelham Gren | The return of Jeeves | 1954 0.435 | Wodehouse, P. G., (Pelham Gren | How right you are, Jeeves | 1959 0.434 | Wodehouse, P. G., (Pelham Gren | Uncle Dynamite : [a novel] | 1948 0.431 | Wodehouse, P. G., (Pelham Gren | Nothing serious | 1951 Wodehouse, P. G., (Pelham Gren = 45.28% 1924-1974"	"PG Wodehouse"	"author-dominated"	"I don't know what the cutoff should be for 'author-dominated.' Shall we say, more than 8-9% of the words in the topic coming from one author? This clearly qualifies."
"TOPIC 46 pct corpus = 0.817% doc entropy = 10.3650 word length = 4.5250 coherence = -20527.7103 rank 1 docs = 0.0210 r1 ratio = 2.57"	"heart poor little face life dear love old eyes death last tears child day how god oh ever away dead home hand hope mother loved still words happy own sad voice must left once hands grief upon sorrow soul pain good days few die yet while night sweet look pale lips wife though head its ill great help even almost grave such leave shall room those bear arms comfort soon "	"0.284 | Jackman, Abi S | A silver ray | 1885 0.211 | Lucas, Annie | Dot | 1888 0.209 | Gascoigne, Gwendolen Trench | A step aside | 1893 0.198 | Littlejohn, Agnes | The daughter of a soldier | 1907 0.184 | Libbey, Laura Jean | Parted by fate, a novel | 1890 0.183 | Praed, Campbell, Mrs | Moloch, a story of sacrifice | 1883 0.18 | Hamilton, Louise F. P. (Louise | Romance of Graylock manor | 1899 "	"0.18 | Pickard, Florence Willingham | The ides of March | 1904 0.174 | Unknown Author | Bonnie Jean, or, The power of lov | 1890 0.171 | Wylde, Henry | Severed ties | 1889 0.169 | Stretton, Hesba | Cobwebs and cables | 1881 0.168 | Libbey, Laura Jean | Junie's love test | 1886 Carey, Rosa Nouchette = 0.44% 1885-1897"	"late-19c  sentiment, including especially love and mourning"	"human institutions, practices, and relationships"	"Here the key was to look up the authors and titles. 'Heart' and 'love' in the first line of the vocab list are also a clue.  If the r1 ratio were higher I might call it a genre ('love stories')."
"TOPIC 47 pct corpus = 0.267% doc entropy = 10.5020 word length = 5.1250 coherence = -47591.8703 rank 1 docs = 0.0002 r1 ratio = 0.075"	"mrs mr husband woman wife house lady room herself miss door say people heard ladies see mother voice tea dear know kind called own just told hall sure afternoon married saw ma'am good chair came looked left daughter madam widow hear nice tell words name having spoke party looking coming sitting saying added large speak seen face front call table continued ask might black person brought took home though cottage "	"0.092 | Howells, William Dean | The elevator : farce | 1885 0.09 | Thirkell, Angela | Northbridge rectory, a novel | 1941 0.082 | Matthews, Brander | This picture and that : a comedy | 1894 0.077 | Kyle, George A. (George Alexan | The Morning Glory club | 1907 0.073 | Thirkell, Angela | Close quarters | 1958 0.072 | Lasswell, Mary | Tooner Schooner | 1953 0.069 | Lasswell, Mary | One on the house | 1949 "	"0.069 | Stockton, Frank R. (Frank Rich | The casting away of Mrs. Lecks an | 1898 0.066 | Lasswell, Mary | Suds in your eye | 1942 0.066 | Corbett, Elizabeth Frances | Mrs. Meigs and Mr. Cunningham | 1936 0.064 | Corbett, Elizabeth Frances | The young Mrs. Meigs | 1931 0.06 | Jackson, Shirley | The lottery; or, The adventures o | 1949 Thirkell, Angela = 1.02% 1901-1944"	"e20c manners"	"human institutions, practices, or relationships"	"This is complicated because Thirkell is a  deliberately retro writer, setting a lot of her books in Anthony Trollope's 19c 'Barsetshire.'  A couple of comedies, so I was tempted to say 'comedy of manners.' But very few rank 1 docs; it's not a genre. "
"TOPIC 48 pct corpus = 0.37% doc entropy = 10.5725 word length = 4.7300 coherence = -37223.8496 rank 1 docs = 0.0006 r1 ratio = 0.162"	"drink glass bottle bar man table wine drunk beer good night room drinking drank another old took hand glasses whisky brandy himself drinks door bottles liquor money poured whiskey put half champagne friend waiter party hell chair sat water gin evening men three went place little god left floor empty take sober pocket better dance smoke let mouth drunken head cigarette wife damn last got friends corner enough bad street "	"0.118 | Rogers, Will | Rogers-isms, the cowboy philosoph | 1919 0.092 | Ruark, Robert Chester | Grenadine Etching, her life and l | 1947 0.09 | Phillips, Alexander Moore | The mislaid charm | 1947 0.082 | Leacock, Stephen | Wet wit & dry humour, distilled f | 1931 0.082 | Fadiman, Clifton | Dionysus; a case of vintage tales | 1962 0.068 | Morley, Christopher | In the sweet dry and dry | 1919 0.067 | Omar Khayyam | Rubaiyat of Omar Khayyam | 1889 "	"0.066 | Ross, James | They don't dance much | 1940 0.064 | Omar Khayyam | Quatrains of Omar Khayyam in Engl | 1898 0.064 | Trumble, Alfred | The Mott Street Poker Club : the  | 1888 0.063 | Tarkington, Booth | The spring concert | 1916 0.062 | Bukowski, Charles | There's no business | 1984 Zola, Émile = 0.2% 1928-1967"	"bars and drinking"	"human institutions, practices, or relationships"	
"TOPIC 49 pct corpus = 0.36% doc entropy = 9.8103 word length = 4.6950 coherence = -27378.8008 rank 1 docs = 0.0100 r1 ratio = 2.778"	"god lord jesus man shall faith christ people upon great sin these holy heaven also soul us words world things spirit earth unto our evil men many even son let children prayer power pray day because those love death life prophet how christian master father against truth peace heart bible say body blessed brother among good yet give whom kingdom law mercy land may light city glory ye called word "	"0.465 | Unknown Author | The English Bible | 1903 0.387 | Levner, I. B. (Israel Benjamin | The legends of Israel : from the  | 1916 0.32 | Unknown Author | The good news of a spiritual real | 1915 0.317 | Unknown Author | Homilies on the Gospel of Saint M | 1886 0.312 | Hurlbut, Jesse Lyman | Hurlbut's Life of Christ for youn | 1915 0.298 | Unknown Author | Judith | 1928 0.293 | Clarke, James Freeman | Life and times of Jesus as relate | 1888 "	"0.269 | Jesus Christ | Autobiography | 1894 0.265 | Rich, Ben. E. (Benjamin Erastu | Mr. Durant of Salt Lake City, tha | 1893 0.257 | Unknown Author | Saul and David; | 1973 0.246 | Mailer, Norman | The Gospel according to the Son | 1997 0.245 | Croll, Maurice | Lamentations of Jeremiah | 1984 Unknown Author = 3.51% 1896-1940"	"biblical language"	"language/ dialect/ archaic diction"	"We could conceivably say 'author-dominated.'"
"TOPIC 50 pct corpus = 0.703% doc entropy = 9.9193 word length = 4.4350 coherence = -20037.5716 rank 1 docs = 0.0503 r1 ratio = 7.155"	"got get just right hell maybe know around re good little going kid sure how want big girl think guess damn god job lot let something say mean why oh nice pretty old take make went kind boy getting look anything better thing because tell stuff couple even really listen yeah night kids talk anyway ever home you're okay while funny cigarette somebody drink tonight damned give started work everybody "	"0.311 | Burnett, W. R. (William Riley) | Underdog | 1957 0.265 | Appel, Benjamin | Runaround | 1937 0.255 | Bissell, Richard | 7 1/2 cents | 1953 0.243 | Burnett, W. R. (William Riley) | High Sierra | 1940 0.232 | Burnett, W. R. (William Riley) | The asphalt jungle | 1949 0.229 | Burnett, W. R. (William Riley) | Little men, big world | 1951 0.229 | Foote, John Taintor | Broadway angler | 1937 "	"0.216 | Thompson, Jim | A hell of a woman | 1954 0.216 | Burnett, W. R. (William Riley) | Vanity Row | 1952 0.213 | Burnett, W. R. (William Riley) | Round the clock at Volari's : an  | 1961 0.209 | Paul, Louis | A horse in Arizona | 1936 0.209 | Nichols, Edward Jay | Hunky Johnny | 1945 Burnett, W. R. (William Riley) = 1.11% 1939-1954"	"mid 20c crime fiction"	"genre"	
"TOPIC 51 pct corpus = 0.483% doc entropy = 10.0070 word length = 4.5000 coherence = -21554.1921 rank 1 docs = 0.0105 r1 ratio = 2.174"	"re just get even good still thought looked enough last sure how told asked nodded right around better let help might need take smiled someone tomorrow find few keep look tonight own maybe first today shook turned laughed us see gave make soon i'll big grinned added new everyone anyone stay eyes voice smile hard wo already seemed peg while started almost though since along next most found those caught "	"0.164 | Heale, Jay | Ice trap | 1993 0.161 | MacInnes, Helen | The double image | 1966 0.153 | Onugha, Chukwudum | The money collectors | 1988 0.151 | MacInnes, Helen | The Salzburg connection | 1968 0.133 | Williams, Ben Ames | The unconquered | 1953 0.133 | MacInnes, Helen | Rest and Be Thankful | 1944 0.131 | Maund, Alfred | The International | 1961 "	"0.129 | MacInnes, Helen | The Venetian affair | 1963 0.125 | Lange, John | Binary | 1972 0.125 | Morales, Sebastian | The chicano kid | 1973 0.124 | Randall, Janet | The seeing heart./ decorations by | 1965 0.124 | MacInnes, Helen | Pray for a brave heart | 1955 MacInnes, Helen = 1.33% 1947-1984"	"personal interaction"	"human institutions, practices, or relationships"	"This one is super hard. Helen MacInnes is a spy  novelist, but The International is about labor  conflict. The Money Collectors is reportedly 'mystery.'  The words feel like dialogue or tags that get used to describe social interaction. So I have gone with human relationships, but this could easily have been uncategorized."
"TOPIC 52 pct corpus = 1.297% doc entropy = 11.0037 word length = 4.8550 coherence = -33764.1754 rank 1 docs = 0.0065 r1 ratio = 0.501"	"himself though own hand made towards head still took while first once its saw thought began felt turned hands last side left gave mind found already eyes came even round between together without seemed stood went see looked against set drew rose behind lay master face take away passed brought arms put fell sat wife arm yet both life same new kept make moment heart since how little held each "	"0.175 | Thompson, Hildegard | The little turtle | 1960 0.149 | Unknown Author | Robinson Crusoe | 1890 0.121 | Todd, Eric | Beachballer | 1973 0.117 | Dressler, Friedrich August | Moltke in his home | 1907 0.116 | Carruth, Jane | The naughty tooth | 1984 0.115 | Green, F. L. (Frederick Lawren | Mist on the waters | 1948 0.114 | Unknown Author | Our lady's tumbler: a tale of med | 1898 "	"0.113 | Biggs, John, Jr | Demigods | 1926 0.113 | Tregarthen, John Coulson | The story of a hare | 1912 0.105 | Unknown Author | Chief Charging Shield; a true inc | 1894 0.104 | Blackwood, Algernon | The human chord | 1916 0.104 | Green, F. L. (Frederick Lawren | The magician | 1951 Curwood, James Oliver = 0.14% 1906-1950"	"very general topic"	"uncategorized dimension of style"	"Really huge topic, high entropy; it would be foolhardy to categorize it."
"TOPIC 53 pct corpus = 0.398% doc entropy = 9.9262 word length = 4.8900 coherence = -26567.5137 rank 1 docs = 0.0101 r1 ratio = 2.538"	"new house room dinner mrs york car club going party home night mr telephone toward course around just afternoon get table went morning evening oh until summer miss week call lunch town living dining library always suppose having drive family guests last hall told why while first friends asked big later take think late dear office gone year apartment came wanted guest breakfast college trip upstairs o'clock married met called "	"0.155 | Norris, Kathleen Thompson | Undertow | 1917 0.137 | Prouty, Olive Higgins | Stella Dallas | 1923 0.13 | Randall, Janet | The seeing heart./ decorations by | 1965 0.127 | Kampen, Irene | Fear without childbirth | 1978 0.12 | Boston, Charles K | The silver jackass | 1941 0.119 | Carew, Jean | First girl | 1945 0.118 | Norris, Kathleen Thompson | Mother : a story | 1911 "	"0.114 | Payne, Elisabeth Stancy | Hearthstones | 1929 0.11 | Rimmer, Robert H | The rebellion of Yale Marratt | 1964 0.109 | Norris, Kathleen Thompson | Mother; | 1912 0.109 | Bartley, Nalbro Isadorah, Mrs | The premeditated virgin | 1931 0.106 | Parker, Maude | Impersonation of a lady | 1934 Norris, Kathleen Thompson = 2.39% 1928-1945"	"early and mid 20c popular stories of marriage and family"	"genre"	"Charles K Boston is a pseudonym for Frank Gruber.  This is admittedly marginal for a genre. r1 ratio is lower than 3. But entropy is below 10, and it's relatively tight chronologically."
"TOPIC 54 pct corpus = 0.24% doc entropy = 10.2506 word length = 4.6350 coherence = -44035.1064 rank 1 docs = 0.0009 r1 ratio = 0.375"	"miss grace girl mr herself lady young oh know see mrs room old ladies girls dear rose little think sister eyes own tea came thought saw say grey thank sure face looked door please tell just voice knew house told person went mind made hope took hall poor afternoon day heard ask pilgrim left maid yes kind put might head aunt bell help people mean gave withers else hat glad "	"0.126 | Crompton, Frances E | Master Bartlemy, or, The thankful | 1892 0.125 | Delafield, E. M | War-workers | 1918 0.108 | Palmer, Stuart | The puzzle of the silver Persian | 1934 0.099 | Jolley, Elizabeth | Foxybaby | 1985 0.098 | Flower, Jessie Graham | Grace Harlowe's sophomore year at | 1910 0.097 | Flower, Jessie Graham | Grace Harlowe's junior year at hi | 1911 0.096 | Flower, Jessie Graham | Grace Harlowe's third year at Ove | 1914 "	"0.095 | Hamilton, Patrick | Riverside | 1947 0.094 | Hamilton, Patrick | The slaves of solitude | 1947 0.094 | Spark, Muriel | The prime of Miss Jean Brodie | 1961 0.088 | Hedden, Worth Tuttle | Wives of High Pasture | 1944 0.088 | Mallette, Gertrude Ethel | Into the wind | 1941 Palmer, Stuart = 0.39% 1900-1943"	"e20c young women"	"aspect of social life"	"This is not a huge topic, but its coherence is low, and it's spread across different genres.  Putting together 'girl,' 'lady,' 'ladies,' 'sister,'  'girls,' and 'aunt,' I might say 'e20c women'? "
"TOPIC 55 pct corpus = 0.802% doc entropy = 10.3609 word length = 4.6000 coherence = -22741.3764 rank 1 docs = 0.0160 r1 ratio = 1.995"	"man himself good own such say might should make made must against without done nothing enough word give mind better take right even let words heart friend help though best truth trouble put thought think keep speak wrong may hope far friends doubt matter sure fellow tell see true face believe poor fear duty first hard young bad yet how gave chance once business under reason anger answered angry last "	"0.156 | King, Richard Ashe | A drawn game | 1884 0.15 | Krishnamurti, J. (Jiddu) | At the feet of the master | 1911 0.145 | Greg, Percy | Ivy : cousin and bride | 1881 0.145 | Cobb, James F. (James Francis) | Martin the skipper; a tale for bo | 1890 0.138 | Stanford, Hope | Down the way. A novel | 1884 0.137 | Herbert, Sarah Ann Flanders | Dick Langdon's career : in Satan' | 1885 0.137 | Phillpotts, Eden | The oldest inhabitant, a comedy | 1934 "	"0.137 | Payn, James | For cash only | 1882 0.135 | Phillpotts, Eden | Storm in a teacup | 1919 0.132 | Needell, J. H, Mrs | Lucia, Hugh, and another | 1884 0.129 | Major, Charles | A gentle knight of old Brandenbur | 1909 0.128 | MacDonald, George | What's mine's mine | 1886 Phillpotts, Eden = 0.73% 1887-1906"	"late 19c  moral obligation"	"uncategorized style"	"I'm detecting a lot of should/must language  as well as trouble/duty/bad/good language.  But not confident."
"TOPIC 56 pct corpus = 0.128% doc entropy = 8.3969 word length = 4.4600 coherence = -22106.9678 rank 1 docs = 0.0273 r1 ratio = 21.328"	"don't i'm i've i'll can't know you're get i'd want won't think going got right see you'll just we'll let we're say why tell they're does take how anything make good look mead mean you've better ain't yes thing something i us sure aren't oh give find need should keep things try suppose help put yourself talk ever guess enough lot believe told away done really might because course nothing "	"0.163 | Ermine, Will | Busted range | 1943 0.144 | Mais, S. P. B. (Stuart Petre B | Quest sinister | 1922 0.137 | Brewster, Eliot | Street girl | 1941 0.134 | Torrey, Roger | 42 days for murder | 1938 0.131 | Hughes, Virginia | Peggy plays off-Broadway | 1962 0.131 | Griggs, George Philip | The days are spent,: a novel | 1945 0.128 | Plain, Belva | Legacy of silence | 1998 "	"0.12 | Hough, Emerson | The sagebrusher; a story of the W | 1919 0.118 | Phillips, David Graham | White magic; a novel | 1910 0.118 | Chapman, Allen | Tom Fairfield's pluck and luck :  | 1913 0.114 | Wirt, Mildred A. (Mildred Augu | The Brownie Scouts in the circus | 1949 0.11 | Hauck, Louise Platt | Lance falls in love | 1941 McBain, Ed = 1.18% 1922-1972"	"contractions"	"accident of transcription"	"Most contractions get broken up ca n't wo n't.  But some printed with “curly quotes” didn't. Not sure these books have anything else  in common."
"TOPIC 57 pct corpus = 1.636% doc entropy = 11.0751 word length = 4.4200 coherence = -27566.2169 rank 1 docs = 0.0193 r1 ratio = 1.18"	"re know want ca why wo get tell think going got see let take say right make you're does yourself give how because look mean nothing anything better good i'll talk need keep put enough leave find told ever should believe ask myself mind just us understand yes else own please help away try thing yours without care doing stop life live done god stay listen call afraid head matter "	"0.175 | Sinclair, May | The Allinghams | 1927 0.16 | Cowley, Joy | The mandrake root | 1975 0.157 | Marcy, Mary | A free union; | 1921 0.151 | Kipling, Rudyard | The story of the Gadsbys | 1890 0.148 | Paddock, A. G, Mrs | Saved at last from among the Morm | 1881 0.141 | Bermant, Chaim | Ben preserve us | 1965 0.14 | Sinclair, May | Far end | 1926 "	"0.14 | Branfield, John | In the country | 1966 0.138 | Sanford, John B | A man without shoes : a novel | 1982 0.137 | Phillpotts, Eden | The oldest inhabitant, a comedy | 1934 0.135 | Phillpotts, Eden | Storm in a teacup | 1919 0.134 | Fallaci, Oriana | A man | 1980 Phillpotts, Eden = 0.4% 1925-1975"	"giant topic"	"uncategorized dimension of style"	
